trip_id,from_stop_id,to_stop_id,distance_km
40rOFL2qzN26P2ty7q_b9-07:00:00,245,243,0.5841000000000001
40rOFL2qzN26P2ty7q_b9-07:00:00,243,241,1.0479
40rOFL2qzN26P2ty7q_b9-07:00:00,241,229,0.6613
40rOFL2qzN26P2ty7q_b9-07:00:00,229,225,0.3481
40rOFL2qzN26P2ty7q_b9-07:00:00,225,223,0.6788
40rOFL2qzN26P2ty7q_b9-07:00:00,223,198,0.1936
40rOFL2qzN26P2ty7q_b9-07:00:00,198,196,0.5163
40rOFL2qzN26P2ty7q_b9-07:00:00,196,193,0.38089999999999996
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,400,363,1.1622999999999999
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,363,373,0.8042999999999999
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,373,367,1.3748
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,367,369,0.7151000000000001
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,369,436,2.7395
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,436,388,2.7979000000000003
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,388,387,0.29460000000000003
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,387,385,1.0118
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,385,383,1.0347
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,383,381,1.2789000000000001
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,381,377,0.842
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,377,375,0.3201
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,375,46,1.0375999999999999
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,46,44,0.18819999999999998
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,44,42,0.11270000000000001
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,42,40,0.2063
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,40,34,0.1046
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,34,39,0.2781
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,39,30,0.6776
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,30,28,0.628
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,28,27,0.2407
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,27,24,0.7957000000000001
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,24,22,0.5247999999999999
4QUtLrt9QqoQBADynOzAM-07:00:00,48,74,7.4394
4QUtLrt9QqoQBADynOzAM-07:00:00,74,149,8.3591
4QUtLrt9QqoQBADynOzAM-07:00:00,149,328,4.8996
4QUtLrt9QqoQBADynOzAM-07:00:00,328,346,1.6962000000000002
4QUtLrt9QqoQBADynOzAM-07:00:00,346,433,2.4631999999999996
4QUtLrt9QqoQBADynOzAM-07:00:00,433,429,1.7124000000000001
4QUtLrt9QqoQBADynOzAM-07:00:00,429,424,1.5221
4QUtLrt9QqoQBADynOzAM-07:00:00,424,405,1.0839
4QUtLrt9QqoQBADynOzAM-07:00:00,405,407,0.45380000000000004
4QUtLrt9QqoQBADynOzAM-07:00:00,407,409,0.8402000000000001
4QUtLrt9QqoQBADynOzAM-07:00:00,409,402,0.74
4QUtLrt9QqoQBADynOzAM-07:00:00,402,359,0.8399
4dazyxD50LYtjM4jq9_Ot-07:00:00,362,406,1.8045
4dazyxD50LYtjM4jq9_Ot-07:00:00,406,404,0.4209
4dazyxD50LYtjM4jq9_Ot-07:00:00,404,423,1.0840999999999998
4dazyxD50LYtjM4jq9_Ot-07:00:00,423,430,1.7530999999999999
4dazyxD50LYtjM4jq9_Ot-07:00:00,430,431,1.863
4dazyxD50LYtjM4jq9_Ot-07:00:00,431,345,2.3028000000000004
4dazyxD50LYtjM4jq9_Ot-07:00:00,345,329,1.7002000000000002
4dazyxD50LYtjM4jq9_Ot-07:00:00,329,297,2.1541
4dazyxD50LYtjM4jq9_Ot-07:00:00,297,299,0.26489999999999997
4dazyxD50LYtjM4jq9_Ot-07:00:00,299,302,0.2028
4dazyxD50LYtjM4jq9_Ot-07:00:00,302,305,0.5254
4dazyxD50LYtjM4jq9_Ot-07:00:00,305,271,2.1837
4dazyxD50LYtjM4jq9_Ot-07:00:00,271,268,0.3837
5gdYQVlYNdFvy7jCqIDu7-07:00:00,425,420,3.4577
5gdYQVlYNdFvy7jCqIDu7-07:00:00,420,356,3.773
5gdYQVlYNdFvy7jCqIDu7-07:00:00,356,248,0.6775
5gdYQVlYNdFvy7jCqIDu7-07:00:00,248,253,0.35919999999999996
5gdYQVlYNdFvy7jCqIDu7-07:00:00,253,156,0.8292
5gdYQVlYNdFvy7jCqIDu7-07:00:00,156,157,0.1377
5gdYQVlYNdFvy7jCqIDu7-07:00:00,157,159,0.1108
5gdYQVlYNdFvy7jCqIDu7-07:00:00,159,161,0.1869
5gdYQVlYNdFvy7jCqIDu7-07:00:00,161,163,0.1743
6LBLdjAw8E6T2OCvlWEr8-07:00:00,189,192,0.4345
6LBLdjAw8E6T2OCvlWEr8-07:00:00,192,197,0.3822
6LBLdjAw8E6T2OCvlWEr8-07:00:00,197,412,1.1105
6LBLdjAw8E6T2OCvlWEr8-07:00:00,412,406,1.7675
6LBLdjAw8E6T2OCvlWEr8-07:00:00,406,404,0.4209
6LBLdjAw8E6T2OCvlWEr8-07:00:00,404,423,1.0840999999999998
6LBLdjAw8E6T2OCvlWEr8-07:00:00,423,430,1.7530999999999999
6LBLdjAw8E6T2OCvlWEr8-07:00:00,430,432,1.8480999999999999
6OIx6bTrieeeSM5cAiCs--07:00:00,426,386,14.033700000000001
6OIx6bTrieeeSM5cAiCs--07:00:00,386,383,1.2539
6OIx6bTrieeeSM5cAiCs--07:00:00,383,381,1.2789000000000001
6OIx6bTrieeeSM5cAiCs--07:00:00,381,377,0.842
6OIx6bTrieeeSM5cAiCs--07:00:00,377,375,0.3201
6OIx6bTrieeeSM5cAiCs--07:00:00,375,46,1.0375999999999999
6OIx6bTrieeeSM5cAiCs--07:00:00,46,44,0.18819999999999998
6OIx6bTrieeeSM5cAiCs--07:00:00,44,42,0.11270000000000001
6d2W3a35jKEGSEjY9OqMB-07:00:00,267,273,0.6049
6d2W3a35jKEGSEjY9OqMB-07:00:00,273,295,1.1683
6d2W3a35jKEGSEjY9OqMB-07:00:00,295,304,0.8733
6u8t_kqOv1J6Cy4UiIRO_-07:00:00,122,442,3.1315
7OIDYqQb_VCEwYHFGH_e5-07:00:00,14,45,0.373
7OIDYqQb_VCEwYHFGH_e5-07:00:00,45,153,1.1135
7OIDYqQb_VCEwYHFGH_e5-07:00:00,153,255,0.6829
7PVy-xzsAclt9bvyLn2D_-07:00:00,305,271,2.1837
7PVy-xzsAclt9bvyLn2D_-07:00:00,271,447,0.3783
7PVy-xzsAclt9bvyLn2D_-07:00:00,447,143,1.0916
7PVy-xzsAclt9bvyLn2D_-07:00:00,143,145,0.4119
7PVy-xzsAclt9bvyLn2D_-07:00:00,145,141,0.4165
7PVy-xzsAclt9bvyLn2D_-07:00:00,141,139,0.4532
7PVy-xzsAclt9bvyLn2D_-07:00:00,139,137,0.2762
7PVy-xzsAclt9bvyLn2D_-07:00:00,137,91,0.9717
7PVy-xzsAclt9bvyLn2D_-07:00:00,91,89,0.19319999999999998
7PVy-xzsAclt9bvyLn2D_-07:00:00,89,17,1.3605999999999998
7oFBV_-FjsLDgC5o68Mli-07:00:00,260,282,0.7978999999999999
7oFBV_-FjsLDgC5o68Mli-07:00:00,282,283,0.6554
7oFBV_-FjsLDgC5o68Mli-07:00:00,283,280,0.7104
7oFBV_-FjsLDgC5o68Mli-07:00:00,280,275,0.6422
8wpT6YlGJmfsskCDg8AJT-07:00:00,322,340,0.3311
8wpT6YlGJmfsskCDg8AJT-07:00:00,340,343,1.3815
8wpT6YlGJmfsskCDg8AJT-07:00:00,343,345,1.4385999999999999
8wpT6YlGJmfsskCDg8AJT-07:00:00,329,297,2.1541
8wpT6YlGJmfsskCDg8AJT-07:00:00,297,299,0.26489999999999997
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,219,220,1.5192999999999999
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,220,231,0.8179
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,231,233,0.6058
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,233,237,0.5404
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,237,235,0.5197999999999999
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,235,239,1.0317
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,239,245,0.42710000000000004
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,245,243,0.5841000000000001
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,243,241,1.0479
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,241,229,0.6613
